mse,l1,l0,loss
28.14018440246582,0.6394193768501282,0.4928245544433594,28.140823364257812
20.423114776611328,0.6324297189712524,0.4907207489013672,20.423748016357422
13.191469192504883,0.6376752257347107,0.48955345153808594,13.192107200622559
10.186807632446289,0.6920269727706909,0.4856986999511719,10.1875
6.977051734924316,0.6582378149032593,0.4798164367675781,6.977709770202637
5.0997185707092285,0.6848405003547668,0.4738311767578125,5.100403308868408
3.40216064453125,0.6536069512367249,0.4658031463623047,3.4028141498565674
3.0851807594299316,0.6735546588897705,0.45805931091308594,3.0858542919158936
3.1170654296875,0.7518632411956787,0.45062255859375,3.1178174018859863
2.2623860836029053,0.7389600872993469,0.44362640380859375,2.263124942779541
1.9257413148880005,0.7746243476867676,0.4370231628417969,1.9265159368515015
1.6224315166473389,0.7710762023925781,0.43189048767089844,1.6232025623321533
1.479683518409729,0.7501963376998901,0.42635536193847656,1.480433702468872
1.4116590023040771,0.680264949798584,0.4222240447998047,1.412339210510254
1.57643461227417,0.7302794456481934,0.41710853576660156,1.577164888381958
1.6089340448379517,0.698661208152771,0.412872314453125,1.6096327304840088
1.5848653316497803,0.6800359487533569,0.40863037109375,1.5855454206466675
1.512742042541504,0.673525333404541,0.40531349182128906,1.5134155750274658
1.5677509307861328,0.756256103515625,0.4018421173095703,1.568507194519043
1.2832589149475098,0.7133415341377258,0.39959716796875,1.2839722633361816
1.0506651401519775,0.7102814316749573,0.3970928192138672,1.051375389099121
0.7772909998893738,0.6742152571678162,0.3953056335449219,0.7779651880264282
0.5589966773986816,0.6430521607398987,0.3928699493408203,0.5596397519111633
0.4157162308692932,0.6334602236747742,0.3909931182861328,0.4163496792316437
0.3296813368797302,0.6108925342559814,0.39012718200683594,0.3302922248840332
0.305907666683197,0.5995364189147949,0.38788414001464844,0.3065072000026703
0.3026946485042572,0.632326602935791,0.3876361846923828,0.30332696437835693
0.38168156147003174,0.6495370864868164,0.38506317138671875,0.38233110308647156
0.3811177909374237,0.6190861463546753,0.3827686309814453,0.3817368745803833
0.3533797860145569,0.5953371524810791,0.37939453125,0.3539751172065735
0.3780114948749542,0.6572847366333008,0.3802356719970703,0.37866878509521484
0.3371509313583374,0.5984988212585449,0.37655067443847656,0.3377494215965271
0.3456224203109741,0.5717639327049255,0.37249755859375,0.34619417786598206
0.3445504903793335,0.6225166320800781,0.3729057312011719,0.3451730012893677
0.3145318627357483,0.6161975264549255,0.3721809387207031,0.3151480555534363
0.2523235082626343,0.5518022775650024,0.3678913116455078,0.25287529826164246
0.28497910499572754,0.64316725730896,0.36852455139160156,0.2856222689151764
0.20220814645290375,0.5723003149032593,0.36685752868652344,0.20278044044971466
0.19174820184707642,0.6210153102874756,0.3663349151611328,0.1923692226409912
0.18978533148765564,0.6059193015098572,0.3621387481689453,0.19039125740528107
0.1715758591890335,0.6373636722564697,0.3641624450683594,0.17221322655677795
0.15875962376594543,0.649215817451477,0.36319541931152344,0.159408837556839
0.15339574217796326,0.6007827520370483,0.3607463836669922,0.1539965271949768
0.16120843589305878,0.6095761060714722,0.36086273193359375,0.1618180125951767
0.16456305980682373,0.6425632238388062,0.3617267608642578,0.16520562767982483
0.15977631509304047,0.5889402627944946,0.360565185546875,0.1603652536869049
0.1513064205646515,0.5950654745101929,0.3601417541503906,0.1519014835357666
0.15951791405677795,0.5674532651901245,0.35834312438964844,0.16008536517620087
0.14237286150455475,0.5581176280975342,0.3592987060546875,0.1429309844970703
0.1424301564693451,0.5745384097099304,0.3599853515625,0.14300470054149628
0.1442505568265915,0.5888879895210266,0.35840606689453125,0.14483945071697235
0.13048489391803741,0.5819685459136963,0.3596668243408203,0.13106685876846313
0.1363828033208847,0.5614774227142334,0.3584938049316406,0.13694427907466888
0.1397428810596466,0.6525207757949829,0.36112403869628906,0.1403954029083252
0.11957380175590515,0.5681465864181519,0.35929107666015625,0.12014194577932358
0.11711481213569641,0.6188250780105591,0.3627643585205078,0.11773363500833511
0.11341267079114914,0.5531646013259888,0.35823631286621094,0.11396583914756775
0.1076211929321289,0.618553638458252,0.3610515594482422,0.10823974758386612
0.11116906255483627,0.5897834300994873,0.360626220703125,0.11175884306430817
0.10465528070926666,0.6257831454277039,0.36035728454589844,0.10528106242418289
0.12004387378692627,0.5539660453796387,0.35976219177246094,0.12059783935546875
0.11030912399291992,0.6349141597747803,0.3610649108886719,0.11094404011964798
0.10544372349977493,0.5911017656326294,0.3596839904785156,0.10603482276201248
0.10796517878770828,0.588037371635437,0.3598194122314453,0.1085532158613205
0.10783307254314423,0.5773012638092041,0.35890769958496094,0.10841037333011627
0.10337796807289124,0.6104239225387573,0.36011695861816406,0.1039883941411972
0.11161637306213379,0.6149760484695435,0.35895729064941406,0.11223135143518448
0.10361546277999878,0.6323956847190857,0.3610248565673828,0.10424786061048508
0.10233305394649506,0.5936888456344604,0.3591747283935547,0.10292674601078033
0.09565505385398865,0.543430745601654,0.3550548553466797,0.09619848430156708
0.10007187724113464,0.6139986515045166,0.3600330352783203,0.10068587958812714
0.09510011970996857,0.5663045644760132,0.3571929931640625,0.09566642343997955
0.103131964802742,0.592241108417511,0.3583240509033203,0.10372420400381088
0.09887941181659698,0.629871129989624,0.3609027862548828,0.09950928390026093
0.09556547552347183,0.5603867769241333,0.35790443420410156,0.09612586349248886
0.10506799817085266,0.5863781571388245,0.3585681915283203,0.10565437376499176
0.10509850829839706,0.5718395709991455,0.35970115661621094,0.10567034780979156
0.09972973167896271,0.5045962333679199,0.3569164276123047,0.10023432970046997
0.09665876626968384,0.6040368676185608,0.3600349426269531,0.09726279973983765
0.10229732096195221,0.5811671614646912,0.3576202392578125,0.10287848860025406
0.09599526226520538,0.5474677681922913,0.35834693908691406,0.09654273092746735
0.09185363352298737,0.5968373417854309,0.358062744140625,0.09245046973228455
0.09550576657056808,0.5787326693534851,0.35774993896484375,0.09608449786901474
0.08662638813257217,0.6314127445220947,0.3633556365966797,0.08725780248641968
0.09815073013305664,0.5969539880752563,0.3592395782470703,0.09874768555164337
0.08957597613334656,0.5924674868583679,0.35918235778808594,0.09016844630241394
0.08914394676685333,0.6041622161865234,0.3607654571533203,0.08974810689687729
0.08964254707098007,0.6128507852554321,0.3612957000732422,0.09025539457798004
0.09464877098798752,0.6010968089103699,0.3595428466796875,0.09524986892938614
0.0866791382431984,0.552770733833313,0.3589801788330078,0.08723191171884537
0.09065907448530197,0.5899951457977295,0.35961151123046875,0.09124907106161118
0.08784331381320953,0.5762643814086914,0.36052894592285156,0.08841957896947861
0.0881149098277092,0.5573229789733887,0.360107421875,0.08867223560810089
0.0880456417798996,0.5590940713882446,0.35851287841796875,0.08860473334789276
0.08718704432249069,0.5585692524909973,0.3575897216796875,0.08774561434984207
0.08724144101142883,0.5642998218536377,0.35762977600097656,0.08780574053525925
0.09104699641466141,0.6429339051246643,0.3615608215332031,0.09168992936611176
0.08338615298271179,0.5853836536407471,0.3600807189941406,0.0839715376496315
0.08346890658140182,0.5991286039352417,0.35930442810058594,0.08406803756952286
0.08520658314228058,0.5836509466171265,0.3605308532714844,0.0857902318239212
